Disease,Locality,Latitude,Longitude,Reported Cases,Severity,Source,Date
Dengue,Gandhinagar,13.025397,77.642035,293,High,User Report,2024-08-09
Cholera,Majestic,12.91593,77.774303,265,Low,User Report,2024-04-23
Dengue,Ulsoor,13.155618,77.705216,180,High,User Report,2024-12-27
Malaria,HBR Layout,13.075496,77.668022,414,High,HealthMap,2024-10-21
Zika Virus,Peenya,12.906853,77.552684,212,Low,Local Hospital,2024-09-13
Swine Flu,BTM Layout,12.835585,77.736706,220,Low,HealthMap,2024-04-02
Dengue,Lalbagh,13.139936,77.794065,10,High,WHO,2024-09-30
Hepatitis,Ulsoor,12.88555,77.622848,86,High,HealthMap,2024-10-05
Zika Virus,BTM Layout,12.829708,77.703413,26,High,HealthMap,2024-02-21
Cholera,Kanakapura Road,13.102997,77.573061,280,Medium,User Report,2024-09-06
Swine Flu,Indiranagar,12.941456,77.740849,413,High,HealthMap,2024-01-11
Zika Virus,Magadi Road,13.189281,77.642453,393,High,WHO,2024-11-25
Cholera,Basavanagudi,13.134508,77.755029,389,Medium,User Report,2024-12-19
Tuberculosis,Shivajinagar,13.154836,77.796504,262,High,CDC,2024-11-28
Dengue,Bommanahalli,13.031847,77.70819,136,High,CDC,2024-10-21
Malaria,JP Nagar,13.146764,77.720508,55,High,CDC,2024-03-19
Cholera,Hoodi,12.857695,77.747526,22,Low,CDC,2024-11-16
COVID-19,Koramangala,13.052666,77.627597,92,High,HealthMap,2024-09-28
Dengue,Domlur,12.924192,77.502113,413,Medium,User Report,2024-05-19
Swine Flu,RT Nagar,13.174323,77.70114,435,Medium,WHO,2024-04-22
Dengue,Domlur,12.852943,77.712518,190,Medium,Local Hospital,2024-10-15
Malaria,Lalbagh,12.810822,77.756219,214,Medium,CDC,2024-08-25
Malaria,Gandhinagar,13.075909,77.518877,117,High,HealthMap,2024-12-06
Cholera,Kanakapura Road,12.963361,77.53369,329,Medium,Local Hospital,2024-06-09
COVID-19,Banaswadi,12.979917,77.538293,482,High,CDC,2024-07-03
COVID-19,Sahakar Nagar,13.015302,77.517915,117,Medium,User Report,2024-11-10
Swine Flu,Shivajinagar,13.011451,77.696516,143,Medium,CDC,2024-09-27
Dengue,Gandhinagar,12.910806,77.623635,204,Medium,WHO,2024-09-16
Malaria,Malleshwaram,13.180912,77.617757,153,Low,WHO,2024-02-24
Zika Virus,Devanahalli,12.912138,77.614896,80,High,Local Hospital,2024-10-20
Malaria,Kengeri,13.120238,77.632356,92,High,WHO,2024-11-12
Malaria,Bommanahalli,12.890326,77.544538,397,Medium,User Report,2024-08-29
COVID-19,Rajajinagar,12.810098,77.567644,156,Low,CDC,2024-07-23
Swine Flu,Bellandur,12.840604,77.651738,28,Medium,CDC,2024-01-03
Swine Flu,Gandhinagar,12.976382,77.504857,69,High,User Report,2024-06-27
Malaria,Hebbal,13.156417,77.779801,211,Medium,HealthMap,2024-10-04
Hepatitis,HSR Layout,13.128539,77.524682,136,Low,HealthMap,2024-02-24
Cholera,Jayanagar,12.934915,77.640699,143,Medium,WHO,2024-03-05
Tuberculosis,Yelahanka,12.842813,77.530768,204,High,HealthMap,2024-04-19
Dengue,Jayanagar,12.998217,77.566956,72,Low,HealthMap,2024-12-13
Tuberculosis,Ulsoor,12.911126,77.502464,121,Low,User Report,2024-07-26
Dengue,Dasarahalli,12.95989,77.524028,490,Low,User Report,2024-05-21
Tuberculosis,Kammanahalli,12.8939,77.589746,243,High,CDC,2024-04-27
Swine Flu,JP Nagar,12.942047,77.596749,498,High,HealthMap,2024-03-19
Cholera,Sarjapur Road,12.989117,77.67285,223,High,Local Hospital,2024-11-28
Swine Flu,Nagarbhavi,12.986508,77.525541,280,Low,WHO,2024-05-14
Malaria,Ulsoor,13.153108,77.58052,151,High,Local Hospital,2024-09-15
Malaria,Hoodi,13.068756,77.771048,264,Low,Local Hospital,2024-02-04
Zika Virus,Hulimavu,13.181238,77.565713,94,Medium,User Report,2024-01-21
COVID-19,BTM Layout,13.017964,77.535961,123,Low,User Report,2024-06-04
Cholera,Marathahalli,13.018103,77.562301,412,Medium,CDC,2024-01-20
COVID-19,Lalbagh,12.969488,77.684414,276,Medium,HealthMap,2024-06-23
Dengue,Lalbagh,13.080776,77.595572,75,High,WHO,2024-01-06
COVID-19,Indiranagar,13.19565,77.63835,152,Medium,Local Hospital,2024-04-30
Zika Virus,Marathahalli,13.06618,77.728363,477,Low,WHO,2024-12-12
Hepatitis,Wilson Garden,12.994839,77.785446,166,Medium,User Report,2024-01-16
COVID-19,Shivajinagar,13.001466,77.725044,456,Medium,User Report,2024-01-14
Tuberculosis,Yelahanka,12.807885,77.572563,291,Medium,WHO,2024-07-21
Cholera,Rajajinagar,12.927451,77.69217,96,Medium,WHO,2024-04-30
Swine Flu,Shivajinagar,12.932723,77.563592,124,Low,WHO,2024-12-04
Hepatitis,Rajajinagar,13.091997,77.673268,306,High,User Report,2024-06-09
Hepatitis,Shivajinagar,12.926407,77.59657,179,Low,WHO,2024-05-07
Malaria,Kadugodi,12.86298,77.634739,442,Low,User Report,2024-10-09
Cholera,Ramamurthy Nagar,13.031822,77.56974,257,Medium,CDC,2024-09-22
Cholera,Lalbagh,12.862521,77.566628,327,Low,WHO,2024-03-26
Swine Flu,Ulsoor,12.868755,77.724192,166,Medium,CDC,2024-11-09
Cholera,Malleshwaram,13.047574,77.750615,158,High,WHO,2024-08-18
Tuberculosis,Kanakapura Road,13.017576,77.604632,431,High,WHO,2024-06-30
Hepatitis,Whitefield,12.921779,77.621775,367,Low,User Report,2024-03-08
COVID-19,KR Market,13.187756,77.692712,374,High,CDC,2024-09-23
Malaria,Banaswadi,12.904383,77.777793,250,Medium,HealthMap,2024-01-31
Hepatitis,Varthur,13.194008,77.726413,255,Low,CDC,2024-05-30
Zika Virus,HBR Layout,12.939625,77.606999,351,Low,HealthMap,2024-07-02
Malaria,Hennur,12.80949,77.72859,435,Low,Local Hospital,2024-11-10
Malaria,Hebbal,13.166053,77.518586,326,High,CDC,2024-05-19
COVID-19,KR Market,12.826957,77.6091,165,Low,WHO,2024-08-27
COVID-19,Nagarbhavi,12.92222,77.670762,210,Low,Local Hospital,2024-09-23
COVID-19,Ramamurthy Nagar,12.886448,77.582071,392,Low,CDC,2024-09-22
Cholera,Gandhinagar,13.006234,77.625017,485,High,User Report,2024-02-10
Dengue,Indiranagar,13.115706,77.666925,412,High,User Report,2024-03-22
Dengue,Hoodi,13.058741,77.753279,266,Low,HealthMap,2024-03-08
Cholera,RT Nagar,13.037267,77.649888,306,High,HealthMap,2024-07-11
Tuberculosis,Magadi Road,12.813172,77.766675,191,High,WHO,2024-09-07
Tuberculosis,Kengeri,12.941619,77.690701,81,Medium,WHO,2024-12-12
Cholera,TC Palya,12.877095,77.718636,118,Medium,CDC,2024-09-25
COVID-19,Hoodi,13.085359,77.715567,61,Medium,WHO,2024-04-06
Zika Virus,Vijayanagar,12.924796,77.719635,352,Medium,User Report,2024-10-02
Dengue,Rajajinagar,13.068316,77.699551,368,Low,Local Hospital,2024-05-08
Swine Flu,Sarjapur Road,12.835016,77.562181,151,Medium,CDC,2024-01-11
Zika Virus,BTM Layout,13.105626,77.792966,179,Low,HealthMap,2024-10-20
Cholera,HBR Layout,12.869239,77.71204,164,High,CDC,2024-06-14
Malaria,HSR Layout,12.853148,77.578805,494,Medium,CDC,2024-05-13
Malaria,HSR Layout,12.860102,77.672375,239,High,User Report,2024-12-28
Malaria,BTM Layout,13.172887,77.513718,215,Medium,WHO,2024-01-21
Hepatitis,Kasturi Nagar,12.825073,77.575756,275,High,WHO,2024-11-30
Tuberculosis,KR Market,12.894658,77.659599,41,Medium,WHO,2024-06-07
COVID-19,Peenya,13.066689,77.687132,415,Low,Local Hospital,2024-02-21
Tuberculosis,Kammanahalli,13.027729,77.613031,468,Low,User Report,2024-01-21
Zika Virus,Kengeri,12.924684,77.575325,300,High,Local Hospital,2024-12-10
COVID-19,Shivajinagar,12.92661,77.541148,256,High,HealthMap,2024-09-15
Cholera,Hebbal,12.853277,77.731167,68,Low,User Report,2024-08-02
Malaria,Banashankari,13.17848,77.585373,270,Low,User Report,2024-08-12
Dengue,Varthur,12.846504,77.501312,275,Low,User Report,2024-12-17
Hepatitis,Majestic,12.967349,77.672468,111,Low,WHO,2024-04-05
Hepatitis,Kanakapura Road,12.894445,77.637499,78,Medium,User Report,2024-01-05
Cholera,Hennur,13.093294,77.597022,67,Medium,HealthMap,2024-09-23
Dengue,Majestic,12.963428,77.574866,217,Low,User Report,2024-01-19
Hepatitis,Dasarahalli,12.840209,77.532433,217,Low,User Report,2024-01-17
Swine Flu,HBR Layout,13.115582,77.720494,390,Low,CDC,2024-04-10
Dengue,Devanahalli,12.913165,77.76322,333,Low,CDC,2024-12-20
Cholera,Lalbagh,13.152539,77.700743,461,Medium,User Report,2024-12-06
COVID-19,KR Puram,12.871833,77.662446,490,Low,WHO,2024-02-25
Malaria,Ulsoor,12.80997,77.694423,412,Low,Local Hospital,2024-02-04
Zika Virus,Koramangala,13.179973,77.787186,310,High,CDC,2024-12-20
Tuberculosis,Wilson Garden,12.984047,77.678674,378,Low,WHO,2024-08-15
Dengue,Electronic City,13.183133,77.781044,169,High,WHO,2024-02-02
Malaria,Gandhinagar,13.152566,77.765199,87,Low,WHO,2024-01-01
Tuberculosis,Bommanahalli,13.147854,77.77286,86,High,HealthMap,2024-07-11
Dengue,HBR Layout,13.135737,77.680867,438,Low,HealthMap,2024-02-26
Tuberculosis,Mysore Road,13.038945,77.528148,370,Low,HealthMap,2024-08-04
Hepatitis,Mysore Road,13.055114,77.647918,393,Low,User Report,2024-02-20
Cholera,Whitefield,12.864043,77.774471,107,Medium,Local Hospital,2024-12-16
Cholera,Banashankari,12.926902,77.656082,227,Medium,CDC,2024-02-18
Cholera,MG Road,13.071889,77.797074,369,Medium,WHO,2024-10-12
Malaria,Whitefield,12.895959,77.542574,346,High,CDC,2024-07-26
Tuberculosis,Domlur,12.910349,77.525541,133,High,Local Hospital,2024-05-19
Malaria,Basavanagudi,12.955215,77.568265,259,Medium,CDC,2024-07-12
Dengue,Nagarbhavi,12.901671,77.545779,347,Medium,Local Hospital,2024-10-06
Hepatitis,Domlur,12.81806,77.749185,18,Medium,User Report,2024-03-26
Malaria,Shivajinagar,13.038122,77.769141,84,High,CDC,2024-01-29
Hepatitis,Malleshwaram,12.987009,77.77009,351,Medium,WHO,2024-02-21
Hepatitis,Wilson Garden,12.957394,77.764499,111,Medium,WHO,2024-09-22
Hepatitis,Koramangala,12.932045,77.531382,178,High,HealthMap,2024-10-15
Malaria,Yelahanka,13.123296,77.639864,159,Low,HealthMap,2024-11-29
Cholera,Devanahalli,13.111056,77.616513,242,High,User Report,2024-06-13
Cholera,Hulimavu,13.018442,77.630395,199,Low,Local Hospital,2024-08-23
Hepatitis,Dasarahalli,12.86023,77.72833,103,Low,HealthMap,2024-04-25
Hepatitis,Hebbal,13.188494,77.504202,296,Medium,CDC,2024-12-06
Swine Flu,Kadugodi,12.88745,77.758406,10,Medium,CDC,2024-01-26
Swine Flu,Kasturi Nagar,13.004318,77.668551,486,Low,WHO,2024-08-14
Tuberculosis,Ulsoor,13.197364,77.588156,97,Medium,CDC,2024-01-29
Swine Flu,Hoodi,13.064385,77.563987,332,Low,HealthMap,2024-09-25
Cholera,Dasarahalli,12.974732,77.665311,330,Low,WHO,2024-10-01
Zika Virus,Rajajinagar,13.0009,77.648186,90,Low,User Report,2024-02-01
Hepatitis,Majestic,13.022698,77.76427,86,High,CDC,2024-03-12
Dengue,Majestic,12.990478,77.617869,98,Low,HealthMap,2024-11-24
Tuberculosis,Kanakapura Road,13.138705,77.535278,466,High,HealthMap,2024-10-25
Malaria,Dasarahalli,13.008784,77.757082,447,Low,CDC,2024-08-17
Hepatitis,Varthur,13.107445,77.58496,471,Medium,Local Hospital,2024-09-21
Zika Virus,Sarjapur Road,13.012379,77.671429,250,Low,CDC,2024-02-25
Tuberculosis,Dasarahalli,13.060524,77.64337,140,High,HealthMap,2024-03-16
Cholera,Bommanahalli,13.095973,77.714594,305,High,HealthMap,2024-03-18
Zika Virus,Sahakar Nagar,12.908716,77.656796,492,Medium,WHO,2024-03-01
Dengue,Varthur,13.000751,77.665808,23,Low,User Report,2024-04-20
Tuberculosis,Lalbagh,13.123598,77.574666,233,High,Local Hospital,2024-04-11
Zika Virus,Yelahanka,12.869923,77.602396,327,High,CDC,2024-02-10
COVID-19,RT Nagar,12.851082,77.779951,379,Low,WHO,2024-03-21
Malaria,Ramamurthy Nagar,12.958669,77.550435,338,Low,WHO,2024-01-12
Swine Flu,Indiranagar,12.852736,77.574096,233,Low,CDC,2024-09-06
Zika Virus,RT Nagar,13.083617,77.525823,310,Medium,HealthMap,2024-10-08
Malaria,Dasarahalli,12.985493,77.7836,485,Medium,CDC,2024-04-29
Malaria,Mysore Road,13.112409,77.797453,35,Medium,WHO,2024-10-10
Hepatitis,Indiranagar,12.891344,77.737365,264,Low,HealthMap,2024-01-14
Zika Virus,TC Palya,12.958884,77.546376,368,Medium,CDC,2024-11-17
Dengue,Jayanagar,12.802978,77.588711,434,Medium,User Report,2024-05-28
COVID-19,Dasarahalli,13.081388,77.60908,105,Low,WHO,2024-09-13
Zika Virus,Ramamurthy Nagar,13.073511,77.551778,220,High,HealthMap,2024-11-04
COVID-19,Hennur,12.991135,77.74792,157,Low,WHO,2024-03-19
Hepatitis,Banaswadi,13.162379,77.519972,40,Medium,WHO,2024-11-03
Tuberculosis,KR Puram,13.102456,77.721289,248,Low,CDC,2024-11-19
COVID-19,Jayanagar,12.896551,77.728299,463,Medium,WHO,2024-11-01
Dengue,Banaswadi,13.097166,77.582059,46,Medium,WHO,2024-08-22
Cholera,MG Road,12.824222,77.696899,309,Low,HealthMap,2024-11-14
Swine Flu,Indiranagar,13.010643,77.64351,247,High,Local Hospital,2024-09-07
COVID-19,TC Palya,12.975643,77.5508,474,High,HealthMap,2024-12-07
Tuberculosis,Domlur,12.9063,77.798593,190,High,HealthMap,2024-08-20
Hepatitis,Sarjapur Road,13.054061,77.637864,394,Medium,WHO,2024-02-27
Tuberculosis,Majestic,13.162824,77.628348,187,Low,CDC,2024-02-10
Malaria,Majestic,12.997303,77.676393,294,Medium,User Report,2024-04-08
Hepatitis,JP Nagar,13.132138,77.689607,70,Low,HealthMap,2024-01-18
Zika Virus,Hennur,13.185672,77.59899,257,Low,User Report,2024-03-31
Zika Virus,Peenya,13.04002,77.613496,92,High,Local Hospital,2024-08-29
Hepatitis,Jayanagar,12.90075,77.717733,65,Low,WHO,2024-02-10
Dengue,Majestic,13.16458,77.75457,207,Medium,User Report,2024-09-19
Tuberculosis,Magadi Road,12.828199,77.596081,410,Medium,CDC,2024-09-20
COVID-19,Koramangala,12.911309,77.732463,476,High,Local Hospital,2024-10-13
Malaria,MG Road,13.130953,77.62486,155,High,User Report,2024-07-15
COVID-19,HBR Layout,12.978436,77.664511,28,Low,HealthMap,2024-04-08
Zika Virus,Lalbagh,13.135057,77.514228,202,High,CDC,2024-09-07
COVID-19,Lalbagh,12.830735,77.531583,365,High,WHO,2024-12-12
Cholera,Chickpet,12.809733,77.535552,140,Low,WHO,2024-07-27
Hepatitis,Whitefield,13.114506,77.768296,423,High,HealthMap,2024-11-26
Zika Virus,Kammanahalli,13.182943,77.684037,151,High,HealthMap,2024-03-29
Hepatitis,Malleshwaram,13.192776,77.786124,82,Medium,HealthMap,2024-04-25
Zika Virus,Nagarbhavi,12.866011,77.585544,283,Medium,User Report,2024-04-24
COVID-19,Kasturi Nagar,13.182355,77.617366,36,Low,HealthMap,2024-02-25
Malaria,Lalbagh,12.80107,77.567077,359,Medium,Local Hospital,2024-08-31
Cholera,Marathahalli,12.894115,77.620626,136,High,Local Hospital,2024-12-17
Malaria,Basavanagudi,12.987434,77.710974,336,Medium,CDC,2024-02-20
Cholera,Whitefield,12.976794,77.521642,179,Medium,User Report,2024-01-22
Tuberculosis,RT Nagar,12.89686,77.516519,117,High,WHO,2024-07-31
Dengue,Kasturi Nagar,12.893675,77.613287,24,High,WHO,2024-03-22
Tuberculosis,Ramamurthy Nagar,13.023606,77.693838,238,Low,User Report,2024-02-12
Cholera,Dasarahalli,13.162688,77.737044,112,Medium,WHO,2024-11-16
Dengue,Koramangala,12.915322,77.735712,321,Medium,HealthMap,2024-05-15
Malaria,Peenya,12.951075,77.660877,462,Low,HealthMap,2024-12-28
Malaria,Marathahalli,13.080784,77.571032,323,High,HealthMap,2024-04-01
Zika Virus,TC Palya,13.188702,77.538143,453,Low,User Report,2024-01-30
COVID-19,JP Nagar,13.048875,77.633856,265,Medium,User Report,2024-05-19
Tuberculosis,Devanahalli,12.866087,77.53481,220,High,WHO,2024-03-15
Dengue,Bommanahalli,13.072126,77.795152,93,High,HealthMap,2024-07-09
Tuberculosis,Kengeri,13.067091,77.710489,368,Low,Local Hospital,2024-03-15
COVID-19,Wilson Garden,13.12039,77.7304,328,Medium,WHO,2024-07-09
Zika Virus,Dasarahalli,12.886285,77.676887,346,High,User Report,2024-11-15
Hepatitis,JP Nagar,12.964788,77.588965,385,High,User Report,2024-12-17
COVID-19,Kanakapura Road,13.054669,77.535675,41,High,WHO,2024-12-21
Cholera,Devanahalli,13.183353,77.570933,169,High,Local Hospital,2024-02-06
Malaria,Whitefield,12.959064,77.645798,245,Medium,Local Hospital,2024-10-28
Zika Virus,Kasturi Nagar,13.118077,77.79511,329,Low,Local Hospital,2024-02-03
COVID-19,Banaswadi,13.094823,77.769077,341,High,User Report,2024-05-10
Cholera,Vijayanagar,12.985405,77.704837,410,Low,CDC,2024-03-22
Zika Virus,Nagarbhavi,13.031719,77.738693,182,Low,WHO,2024-07-31
Cholera,Ramamurthy Nagar,12.917037,77.506183,294,Low,HealthMap,2024-09-16
Hepatitis,Marathahalli,13.008835,77.558138,19,Medium,Local Hospital,2024-07-08
Malaria,Chickpet,12.969801,77.669386,464,Low,CDC,2024-01-10
Hepatitis,Devanahalli,13.13694,77.785943,120,Medium,WHO,2024-06-30
Malaria,TC Palya,12.953348,77.571992,209,High,WHO,2024-02-16
Dengue,Wilson Garden,12.933008,77.520814,120,High,User Report,2024-06-08
Swine Flu,KR Puram,12.863287,77.635956,476,High,User Report,2024-11-28
Tuberculosis,Hennur,12.953462,77.685911,356,Medium,User Report,2024-09-20
Malaria,Jayanagar,13.059653,77.652301,153,Low,WHO,2024-08-31
Hepatitis,Lalbagh,13.078156,77.553718,487,Medium,User Report,2024-07-08
Malaria,Kammanahalli,13.103402,77.573223,325,Low,WHO,2024-11-12
Hepatitis,RT Nagar,13.162458,77.769734,177,Medium,User Report,2024-05-14
Cholera,MG Road,12.963422,77.713753,313,Low,HealthMap,2024-12-10
Malaria,HBR Layout,12.86433,77.792523,340,Low,CDC,2024-11-20
Zika Virus,Shivajinagar,13.024841,77.711959,375,High,Local Hospital,2024-11-30
Zika Virus,Shivajinagar,13.06271,77.535249,359,Medium,Local Hospital,2024-05-25
Swine Flu,Jayanagar,12.802211,77.758487,141,High,CDC,2024-11-26
Cholera,Domlur,13.021796,77.774441,263,High,WHO,2024-06-26
Dengue,Sahakar Nagar,12.82419,77.713475,448,High,CDC,2024-10-23
Zika Virus,HSR Layout,13.002772,77.657375,214,Low,Local Hospital,2024-06-06
Tuberculosis,Ulsoor,13.07702,77.718486,38,High,WHO,2024-10-03
Zika Virus,Kadugodi,12.931534,77.51747,88,Low,CDC,2024-10-11
COVID-19,Malleshwaram,13.129718,77.562968,492,High,CDC,2024-10-30
Dengue,MG Road,12.907514,77.690562,325,High,WHO,2024-04-03
Malaria,Majestic,13.196071,77.727381,366,Low,CDC,2024-12-28
Hepatitis,Kadugodi,13.045429,77.797809,475,High,HealthMap,2024-06-01
COVID-19,Peenya,12.805542,77.548448,58,Medium,User Report,2024-12-21
Cholera,Shivajinagar,13.116804,77.632536,11,Medium,CDC,2024-04-19
Dengue,Gandhinagar,12.9275,77.738079,182,Medium,Local Hospital,2024-11-05
Hepatitis,Bommanahalli,12.97236,77.768947,300,Medium,User Report,2024-06-07
Malaria,Basavanagudi,12.839606,77.517148,98,High,WHO,2024-03-14
Dengue,Bommanahalli,13.160554,77.674304,41,Low,CDC,2024-05-09
Tuberculosis,HSR Layout,12.818059,77.752669,487,Medium,HealthMap,2024-10-24
Tuberculosis,Lalbagh,12.867509,77.585105,437,Low,User Report,2024-04-15
Tuberculosis,Lalbagh,12.852653,77.67836,345,Medium,WHO,2024-05-14
COVID-19,Hennur,13.030263,77.739021,123,High,User Report,2024-04-20
Swine Flu,Ramamurthy Nagar,12.922781,77.754073,385,Medium,CDC,2024-08-09
Dengue,Bommanahalli,13.001576,77.773468,340,High,User Report,2024-06-27
Tuberculosis,HSR Layout,13.021882,77.56979,58,Medium,User Report,2024-01-07
Malaria,Majestic,12.801354,77.665684,352,High,HealthMap,2024-10-23
Cholera,Wilson Garden,13.199803,77.694594,102,Low,User Report,2024-02-10
Dengue,KR Market,12.961287,77.712883,118,High,Local Hospital,2024-12-16
Malaria,Hebbal,12.861247,77.747294,316,High,WHO,2024-12-29
Zika Virus,Lalbagh,13.017192,77.722023,126,High,WHO,2024-07-03
Cholera,TC Palya,13.10223,77.665471,34,High,Local Hospital,2024-04-28
COVID-19,Sahakar Nagar,13.170335,77.640853,264,Medium,Local Hospital,2024-02-24
COVID-19,Basavanagudi,13.03671,77.646455,188,Medium,CDC,2024-08-01
Swine Flu,Bellandur,12.990835,77.505743,355,Medium,HealthMap,2024-09-27
COVID-19,JP Nagar,12.945794,77.549526,155,Low,User Report,2024-01-11
Dengue,Hennur,13.109828,77.502124,87,Medium,WHO,2024-12-21
Swine Flu,Marathahalli,12.854041,77.74587,377,Medium,HealthMap,2024-12-19
Cholera,Hoodi,13.135428,77.61791,151,Low,Local Hospital,2024-04-23
Dengue,Chickpet,13.002673,77.727208,161,High,CDC,2024-06-12
Malaria,Indiranagar,13.17056,77.776554,171,Low,User Report,2024-04-22
COVID-19,Malleshwaram,13.137066,77.693326,173,Low,HealthMap,2024-07-26
Tuberculosis,Kengeri,12.901429,77.748145,77,Low,User Report,2024-05-17
Tuberculosis,Ramamurthy Nagar,12.83151,77.674764,241,Low,User Report,2024-05-25
COVID-19,Majestic,12.952644,77.614059,137,Low,HealthMap,2024-06-12
Tuberculosis,Mysore Road,13.013256,77.69783,86,Medium,User Report,2024-11-27
COVID-19,Majestic,13.103493,77.699292,99,Low,HealthMap,2024-02-01
Hepatitis,TC Palya,13.00304,77.624951,405,Medium,WHO,2024-08-14
Cholera,Indiranagar,12.972985,77.582043,370,Medium,User Report,2024-06-19
COVID-19,Shivajinagar,12.842355,77.608806,440,Medium,Local Hospital,2024-09-14
Malaria,Ulsoor,13.152676,77.761202,304,Medium,User Report,2024-02-20
Hepatitis,Jayanagar,13.111877,77.693293,471,Low,CDC,2024-06-21
Malaria,Yelahanka,12.891187,77.570424,499,Medium,User Report,2024-02-26
Hepatitis,Kanakapura Road,13.101464,77.792117,320,High,HealthMap,2024-10-20
Swine Flu,Peenya,12.972769,77.723714,254,Low,CDC,2024-06-08
Malaria,Bommanahalli,12.971422,77.765143,434,High,WHO,2024-11-03
Hepatitis,Hennur,12.841355,77.697344,80,Medium,WHO,2024-07-25
COVID-19,Kanakapura Road,13.002759,77.722546,103,High,User Report,2024-12-24
Tuberculosis,Marathahalli,12.834556,77.710469,367,High,Local Hospital,2024-08-04
Hepatitis,KR Puram,12.866132,77.707008,482,High,Local Hospital,2024-12-09
COVID-19,Hoodi,12.88835,77.769809,373,Medium,Local Hospital,2024-07-05
COVID-19,Ulsoor,12.876782,77.503587,407,High,Local Hospital,2024-12-26
Swine Flu,Banaswadi,12.969077,77.645802,34,Medium,CDC,2024-02-22
Swine Flu,Whitefield,13.021062,77.536773,331,Medium,WHO,2024-04-11
Hepatitis,Ulsoor,12.969216,77.703246,365,High,WHO,2024-11-25
COVID-19,Indiranagar,12.952822,77.755213,397,Low,HealthMap,2024-06-21
Zika Virus,Varthur,13.034411,77.518749,242,High,CDC,2024-01-09
COVID-19,Mysore Road,13.003742,77.753565,462,High,Local Hospital,2024-04-23
COVID-19,Hulimavu,12.929593,77.582218,309,High,Local Hospital,2024-04-06
COVID-19,MG Road,12.861637,77.764677,284,Medium,User Report,2024-08-20
Swine Flu,Kasturi Nagar,12.969849,77.66939,83,Low,WHO,2024-07-20
Swine Flu,Malleshwaram,13.063937,77.715893,383,Low,CDC,2024-03-23
Malaria,Kasturi Nagar,12.98423,77.650786,301,High,Local Hospital,2024-09-15
Zika Virus,Koramangala,13.172027,77.774234,306,Low,CDC,2024-10-22
Dengue,Gandhinagar,12.917082,77.662122,284,Low,User Report,2024-11-12
Swine Flu,Hennur,12.851665,77.507424,113,High,HealthMap,2024-05-21
Malaria,Shivajinagar,12.933728,77.672644,101,High,Local Hospital,2024-12-04
Dengue,Banaswadi,12.922046,77.618862,348,Medium,User Report,2024-04-11
Tuberculosis,Koramangala,12.952194,77.537815,265,Medium,WHO,2024-06-16
Dengue,RT Nagar,13.196974,77.567315,161,Medium,WHO,2024-04-07
Zika Virus,Lalbagh,13.080743,77.648781,197,Low,WHO,2024-12-17
Cholera,Marathahalli,13.04591,77.65495,132,Low,User Report,2024-06-10
Cholera,Chickpet,12.910381,77.513215,83,Low,WHO,2024-07-23
Zika Virus,Domlur,12.875066,77.790577,188,Medium,HealthMap,2024-06-23
Swine Flu,Ulsoor,12.966446,77.548053,105,High,WHO,2024-07-27
Dengue,Koramangala,13.000365,77.513154,419,Low,WHO,2024-08-24
Hepatitis,Vijayanagar,13.049056,77.741117,99,Low,Local Hospital,2024-05-06
Cholera,Indiranagar,12.96819,77.649136,311,High,User Report,2024-09-24
Tuberculosis,BTM Layout,12.90428,77.641,134,High,User Report,2024-05-18
Dengue,Kanakapura Road,13.123271,77.642933,236,Medium,WHO,2024-06-05
Tuberculosis,Basavanagudi,13.020088,77.781482,451,Low,User Report,2024-04-29
Tuberculosis,Hulimavu,12.844006,77.528538,169,High,Local Hospital,2024-08-28
COVID-19,Mysore Road,13.082107,77.503461,250,Low,CDC,2024-03-05
Tuberculosis,Chickpet,12.998076,77.751463,125,Medium,Local Hospital,2024-03-16
Cholera,Vijayanagar,13.197436,77.549268,57,High,Local Hospital,2024-04-30
Hepatitis,Nagarbhavi,13.128963,77.743406,340,High,HealthMap,2024-06-10
Malaria,Kadugodi,12.894957,77.595585,420,High,User Report,2024-11-30
Swine Flu,Malleshwaram,13.006556,77.543985,267,Low,CDC,2024-11-01
Zika Virus,Domlur,12.816036,77.600697,395,Medium,WHO,2024-07-16
Cholera,HBR Layout,13.093556,77.740433,174,Low,User Report,2024-05-04
Zika Virus,Marathahalli,13.020165,77.630849,303,Medium,Local Hospital,2024-08-18
Swine Flu,Ulsoor,13.139511,77.788782,473,High,WHO,2024-07-23
COVID-19,Basavanagudi,13.073548,77.580022,393,High,WHO,2024-09-05
Swine Flu,Banashankari,13.102641,77.633356,393,High,WHO,2024-08-10
Tuberculosis,Peenya,12.828118,77.538387,406,Low,Local Hospital,2024-06-26
Dengue,JP Nagar,13.159541,77.562294,205,High,HealthMap,2024-03-09
Swine Flu,Nagarbhavi,13.10514,77.516365,354,High,HealthMap,2024-09-08
Hepatitis,Bellandur,12.930571,77.61611,375,High,HealthMap,2024-04-28
Zika Virus,Ramamurthy Nagar,12.897379,77.794778,152,Low,CDC,2024-03-19
Malaria,Majestic,12.864045,77.54075,24,Low,WHO,2024-07-29
Zika Virus,Shivajinagar,12.861635,77.722197,152,Medium,HealthMap,2024-07-02
Malaria,Kadugodi,12.970541,77.68909,390,Low,CDC,2024-04-03
Zika Virus,Banaswadi,13.037166,77.791659,351,Low,HealthMap,2024-03-21
